,human,move_human_own(-3),dead_bird(-7),Mosquito(-7),Sentinel_Chickens(-4)
2016_week39,5,8,18,19,0
2016_week40,6,8,7,8,6
2017_week9,0,0,0,0,0
2017_week10,0,0,0,0,0
2017_week11,1,0,0,0,0
2017_week12,0,0,0,2,0
2017_week13,1,0,0,3,0
2017_week14,0,1,1,3,0
2017_week15,1,0,4,4,0
2017_week16,0,1,3,17,0
2017_week17,2,0,12,59,1
2017_week18,5,1,2,69,1
2017_week19,11,0,2,145,15
2017_week20,19,2,12,110,4
2017_week21,18,5,12,78,13
2017_week22,28,11,20,191,6
2017_week23,21,19,18,214,18
2017_week24,35,18,26,230,34
2017_week25,31,28,26,345,38
2017_week26,37,21,30,344,25
2017_week27,47,35,32,235,34
2017_week28,57,31,36,235,15
2017_week29,46,37,25,261,31
2017_week30,42,47,34,283,29
2017_week31,24,57,38,153,18
2017_week32,27,46,59,135,5
2017_week33,11,42,33,66,8
2017_week34,24,24,21,52,2
2017_week35,13,27,14,57,7
2018_week9,0,0,0,0,0
2018_week10,0,0,0,0,0
2018_week11,4,0,0,1,0
2018_week12,5,0,0,0,0
2018_week13,0,0,0,0,0
2018_week14,0,4,1,0,0
2018_week15,1,5,2,1,0
2018_week16,0,0,2,1,0
2018_week17,2,0,5,1,0
2018_week18,0,1,7,6,0
2018_week19,7,0,6,21,7
2018_week20,2,2,8,16,0
2018_week21,10,0,15,59,4
2018_week22,11,7,17,65,3
2018_week23,14,2,41,144,24
2018_week24,23,10,59,165,6
2018_week25,21,11,65,194,32
2018_week26,14,14,52,268,8
2018_week27,4,23,32,177,20
2018_week28,14,21,47,177,8
2018_week29,11,14,34,160,10
2018_week30,13,4,25,150,17
2018_week31,14,14,8,124,2
2018_week32,4,11,15,72,9
2018_week33,8,13,24,87,2
2018_week34,7,14,9,50,4
2018_week35,14,4,5,8,0
2019_week9,0,0,0,0,0
2019_week10,0,0,0,0,0
2019_week11,0,0,0,0,0
2019_week12,0,0,0,0,0
2019_week13,0,0,0,3,0
2019_week14,0,0,0,14,0
2019_week15,1,0,0,5,0
2019_week16,1,0,0,18,0
2019_week17,0,0,0,43,0
2019_week18,2,1,2,73,0
2019_week19,6,1,2,63,0
2019_week20,4,0,8,131,0
2019_week21,31,2,5,120,0
2019_week22,12,6,2,111,3
2019_week23,5,4,8,220,7
2019_week24,27,31,6,292,16
2019_week25,9,12,9,277,19
2019_week26,14,5,15,276,8
2019_week27,16,27,9,341,28
2019_week28,17,9,14,281,8
2019_week29,13,14,10,247,16
2019_week30,11,16,12,299,9
2019_week31,9,17,17,163,5
2019_week32,6,13,19,92,11
2019_week33,10,11,36,56,0
2019_week34,2,9,11,80,3
2019_week35,9,6,7,19,2
2020_week9,0,0,0,0,0
2020_week10,0,0,0,0,0
2020_week11,1,0,2,0,0
2020_week12,0,0,0,0,0
2020_week13,1,0,0,0,0
2020_week14,0,1,1,4,0
2020_week15,2,0,2,25,0
2020_week16,1,1,0,19,0
2020_week17,5,0,2,17,1
2020_week18,8,2,9,27,0
2020_week19,9,1,4,43,9
2020_week20,8,5,11,44,2
2020_week21,10,8,7,72,9
2020_week22,1,9,5,121,1
2020_week23,12,8,18,102,18
2020_week24,33,10,17,201,1
2020_week25,2,1,30,207,15
2020_week26,21,12,13,232,4
2020_week27,9,33,18,306,21
2020_week28,12,2,29,297,11
2020_week29,20,21,40,265,23
2020_week30,5,9,37,144,6
2020_week31,10,12,13,169,2
2020_week32,2,20,12,93,6
2020_week33,11,5,4,87,9
